iter	Passed	Remaining
0	172	172582
1	174	87321
2	176	58807
3	178	44527
4	180	35964
5	184	30626
6	187	26528
7	188	23417
8	190	20982
9	192	19032
10	193	17426
11	195	16082
12	200	15217
13	202	14252
14	204	13417
15	206	12701
16	208	12053
17	209	11454
18	214	11089
19	216	10613
20	218	10180
21	219	9775
22	221	9404
23	222	9065
24	224	8752
25	226	8468
26	229	8286
27	231	8049
28	233	7826
29	235	7607
30	236	7399
31	238	7213
32	240	7043
33	244	6942
34	246	6792
35	248	6643
36	249	6502
37	251	6372
38	253	6256
39	255	6133
40	260	6083
41	262	5980
42	263	5873
43	265	5766
44	267	5669
45	269	5581
46	270	5485
47	273	5431
48	275	5353
49	280	5335
50	282	5265
51	284	5194
52	286	5120
53	288	5045
54	289	4973
55	291	4908
56	299	4954
57	301	4898
58	303	4841
59	305	4787
60	307	4727
61	310	4704
62	313	4656
63	314	4602
64	316	4546
65	317	4492
66	318	4442
67	320	4392
68	321	4341
69	324	4312
70	326	4270
71	327	4224
72	328	4175
73	329	4127
74	330	4080
75	331	4035
76	332	3990
77	333	3947
78	334	3903
79	335	3859
80	336	3817
81	337	3777
82	339	3748
83	340	3715
84	341	3677
85	342	3639
86	343	3603
87	344	3567
88	344	3530
89	345	3495
90	346	3460
91	347	3425
92	347	3393
93	348	3361
94	349	3329
95	350	3298
96	351	3268
97	351	3239
98	352	3209
99	355	3197
100	356	3170
101	357	3143
102	357	3115
103	358	3088
104	359	3061
105	359	3034
106	360	3008
107	361	2982
108	361	2957
109	362	2932
110	363	2908
111	363	2884
112	364	2860
113	365	2837
114	365	2814
115	366	2792
116	366	2768
117	367	2747
118	368	2725
119	370	2718
120	371	2700
121	372	2679
122	373	2659
123	373	2640
124	374	2621
125	375	2602
126	375	2582
127	376	2564
128	377	2545
129	377	2527
130	378	2509
131	378	2492
132	379	2474
133	380	2457
134	380	2440
135	381	2423
136	382	2406
137	382	2390
138	383	2374
139	386	2371
140	386	2357
141	387	2341
142	388	2327
143	389	2312
144	389	2298
145	391	2287
146	392	2275
147	392	2261
148	393	2248
149	394	2234
150	395	2221
151	395	2207
152	396	2194
153	397	2181
154	397	2168
155	398	2156
156	402	2161
157	403	2151
158	404	2138
159	404	2125
160	405	2112
161	405	2099
162	406	2087
163	407	2075
164	407	2064
165	408	2052
166	409	2041
167	409	2029
168	410	2018
169	411	2007
170	411	1996
171	412	1985
172	413	1974
173	413	1964
174	415	1958
175	416	1950
176	417	1940
177	418	1930
178	418	1920
179	419	1910
180	419	1899
181	420	1890
182	421	1880
183	421	1870
184	422	1861
185	423	1851
186	423	1842
187	424	1832
188	424	1823
189	425	1814
190	426	1805
191	426	1796
192	427	1787
193	428	1778
194	428	1769
195	429	1762
196	430	1756
197	431	1748
198	432	1740
199	432	1731
200	433	1723
201	434	1715
202	434	1707
203	435	1698
204	436	1691
205	436	1683
206	437	1676
207	438	1669
208	439	1662
209	439	1655
210	440	1648
211	441	1641
212	442	1634
213	443	1627
214	443	1620
215	444	1613
216	445	1609
217	446	1602
218	447	1595
219	448	1588
220	448	1581
221	449	1574
222	449	1567
223	450	1560
224	451	1554
225	451	1547
226	452	1540
227	453	1533
228	453	1527
229	454	1520
230	454	1514
231	455	1507
232	456	1501
233	456	1494
234	457	1488
235	457	1482
236	458	1476
237	459	1469
238	460	1466
239	461	1461
240	462	1455
241	462	1449
242	463	1443
243	463	1437
244	464	1432
245	465	1426
246	465	1420
247	466	1414
248	467	1409
249	467	1403
250	468	1397
251	469	1392
252	469	1386
253	470	1381
254	470	1375
255	471	1370
256	472	1364
257	472	1359
258	473	1354
259	473	1348
260	474	1343
261	476	1341
262	476	1336
263	477	1331
264	478	1326
265	478	1321
266	479	1316
267	480	1311
268	480	1306
269	481	1301
270	481	1296
271	482	1291
272	483	1286
273	483	1281
274	484	1276
275	484	1272
276	485	1267
277	486	1262
278	486	1257
279	487	1253
280	488	1250
281	489	1247
282	491	1245
283	492	1241
284	493	1237
285	494	1233
286	495	1229
287	496	1226
288	497	1222
289	497	1218
290	498	1215
291	500	1213
292	501	1210
293	503	1209
294	504	1205
295	505	1203
296	507	1200
297	508	1197
298	509	1193
299	509	1189
300	510	1185
301	511	1182
302	512	1178
303	513	1174
304	513	1170
305	514	1167
306	515	1163
307	516	1159
308	518	1158
309	523	1165
310	525	1163
311	526	1160
312	527	1156
313	527	1153
314	528	1149
315	529	1145
316	530	1142
317	530	1138
318	531	1135
319	532	1132
320	533	1129
321	537	1131
322	538	1129
323	539	1125
324	540	1122
325	541	1118
326	541	1115
327	542	1111
328	543	1108
329	544	1105
330	545	1101
331	546	1098
332	546	1095
333	547	1092
334	548	1088
335	549	1085
336	551	1084
337	552	1082
338	553	1079
339	554	1076
340	555	1073
341	556	1069
342	556	1066
343	557	1063
344	558	1059
345	559	1056
346	559	1053
347	560	1050
348	561	1047
349	562	1043
350	562	1040
351	563	1037
352	564	1034
353	567	1035
354	569	1034
355	570	1031
356	570	1028
357	571	1025
358	572	1022
359	573	1019
360	573	1015
361	574	1012
362	575	1009
363	575	1005
364	576	1002
365	576	999
366	577	996
367	578	992
368	578	989
369	581	989
370	582	987
371	583	984
372	583	981
373	584	978
374	585	975
375	585	972
376	586	968
377	586	965
378	587	962
379	588	959
380	588	956
381	589	953
382	590	950
383	590	947
384	591	944
385	591	941
386	592	938
387	593	935
388	593	932
389	594	929
390	596	929
391	597	927
392	598	924
393	599	922
394	600	919
395	600	916
396	601	913
397	602	910
398	602	907
399	603	905
400	603	902
401	604	899
402	605	896
403	605	893
404	606	890
405	607	888
406	607	885
407	608	882
408	608	879
409	609	877
410	611	876
411	613	875
412	614	873
413	614	870
414	615	867
415	616	865
416	616	862
417	617	859
418	618	857
419	618	854
420	619	851
421	619	849
422	620	846
423	621	843
424	621	841
425	622	838
426	622	835
427	623	833
428	624	830
429	624	828
430	627	828
431	629	827
432	630	825
433	630	822
434	631	820
435	632	817
436	632	815
437	633	812
438	633	810
439	634	807
440	635	804
441	635	802
442	636	800
443	636	797
444	637	795
445	638	792
446	638	790
447	640	788
448	642	788
449	643	787
450	644	784
451	645	782
452	646	780
453	646	777
454	647	775
455	647	773
456	648	770
457	649	768
458	649	765
459	650	763
460	651	761
461	651	758
462	652	756
463	652	754
464	653	752
465	654	749
466	655	747
467	656	746
468	657	744
469	658	742
470	659	740
471	659	738
472	660	736
473	661	734
474	662	731
475	662	729
476	663	727
477	663	725
478	664	722
479	665	720
480	665	718
481	666	716
482	666	713
483	667	711
484	668	709
485	668	707
486	669	705
487	670	702
488	672	702
489	673	701
490	674	699
491	675	697
492	676	695
493	677	693
494	678	691
495	679	690
496	680	688
497	680	686
498	681	684
499	682	682
500	682	680
501	683	677
502	684	675
503	684	673
504	685	671
505	687	671
506	688	669
507	689	667
508	690	666
509	691	664
510	691	662
511	692	660
512	693	658
513	693	656
514	694	654
515	695	652
516	695	650
517	696	647
518	696	645
519	697	643
520	698	641
521	698	639
522	699	637
523	700	635
524	700	634
525	702	632
526	703	631
527	704	629
528	704	627
529	705	625
530	705	623
531	706	621
532	707	619
533	707	617
534	708	615
535	709	613
536	709	611
537	710	609
538	710	607
539	711	606
540	712	604
541	712	602
542	713	600
543	713	598
544	714	596
545	715	594
546	716	593
547	717	591
548	718	589
549	718	588
550	719	586
551	720	584
552	720	582
553	721	580
554	722	578
555	722	577
556	723	575
557	723	573
558	724	571
559	725	569
560	725	567
561	726	566
562	726	564
563	727	562
564	728	560
565	728	558
566	729	556
567	729	555
568	730	553
569	733	553
570	734	551
571	734	549
572	735	547
573	735	546
574	736	544
575	737	542
576	737	540
577	738	539
578	738	537
579	739	535
580	740	533
581	740	532
582	741	530
583	742	528
584	742	526
585	743	525
586	743	523
587	744	521
588	745	519
589	745	518
590	747	516
591	748	515
592	748	514
593	749	512
594	750	510
595	750	508
596	751	507
597	752	505
598	752	503
599	753	502
600	753	500
601	754	498
602	755	497
603	755	495
604	756	493
605	756	492
606	757	490
607	758	488
608	758	487
609	759	485
610	759	483
611	760	482
612	761	480
613	762	479
614	763	478
615	764	476
616	764	474
617	765	473
618	766	471
619	766	469
620	767	468
621	767	466
622	768	465
623	769	463
624	769	461
625	770	460
626	771	458
627	771	457
628	772	455
629	772	453
630	773	452
631	774	450
632	774	449
633	775	447
634	775	445
635	776	444
636	778	443
637	779	442
638	779	440
639	780	438
640	780	437
641	781	435
642	782	434
643	782	432
644	783	431
645	783	429
646	784	428
647	785	426
648	785	425
649	786	423
650	787	422
